Sensor,Date,Water content,Event
A1,5/1/16,0.884,1
A1,6/1/17,0.917,2
A1,5/27/18,0.95,3
A1,6/11/19,0.997,4
A1,4/24/20,0.877,5
A1,4/25/21,0.927,6
A2,4/25/16,0.91,1
A2,5/26/17,0.98,2
A2,5/11/18,0.867,3
A2,6/10/19,0.839,4
A2,4/18/20,0.565,5
A2,4/14/21,0.625,6
A3,6/29/16,0.417,1
A3,6/23/17,0.512,2
A3,7/9/18,0.47,3
A3,6/22/19,0.522,4
A3,5/9/20,0.474,5
A3,5/6/21,0.379,6
A4,7/6/16,0.66,1
A4,7/7/17,0.79,2
A4,7/6/18,0.8,3
A4,7/20/19,0.91,4
A4,7/7/20,0.974,5
A4,5/31/21,0.918,6
A5,7/28/16,0.446,1
A5,8/3/17,0.518,2
A5,8/1/18,0.584,3
A5,8/15/19,0.816,4
A5,7/26/20,0.88,5
A5,7/9/2021,0.86,6
A6,9/8/16,0.734,1
A6,8/9/17,0.914,2
A6,8/25/18,0.897,3
A6,9/16/19,0.968,4
A6,8/20/20,0.935,5
A6,7/29/21,0.88,6
A7,9/16/16,0.572,1
A7,9/13/17,0.88,2
A7,7/22/18,0.915,3
A7,8/16/19,0.906,4
A7,7/21/20,0.87,5
A7,7/5/21,0.815,6
